"","body.of.a.man.found.at.the.bus.stop.in.the.center.of.Chelyabinsk","sentiment"
"1065","in Emanzhelinsk on an identikit looking sugar cheater cheater news Emanzhelinsk",""
"1066","main mosque in Zlatoust steel engraving will issue news mosque zlatoust",""
"1067","prosecutors opened a case on the water main break on Iremel news conduit Miass",""
"1068","Human rights activists reported the death soldatakontraktnika Snezhinsk news suicide snezhinsk",""
"1069","child from Kopeysk half blind after falling meteorite news meteorite Kopejsk vision",""
"1070","Police looking Ozersk flayers who shot puppies news knacker Ozersk",""
"1071","appeared in the formation of stone Arkaima all diseases News ARKA stone",""
"1072","m on the road traffic restrictions lifted trucks news weather track limit",""
"1073","Vasily Koshechkin named the best goalkeeper in the quarterfinals of the Gagarin Cup news kubokgagarina vasyl",""
"1074","studentkursa fell from the window in Chelyabinsk drop student news",""
"1075","driver knocked to death an elderly woman while turning news crash Kopejsk",""
"1076","CTZ released on unique to Russian news locomobile CTZ locomobile",""
"1077","young fizruk present Chelyabinsk Region Russian competition Competition news fizruk",""
"1078","bus driver facing a Kamaz ehalkmch news race taxi accident",""
"1079","for the post of rector of CSU claimed two women news CSU applicants Rector",""
"1080","villagers refuse to move under formation despite the bombings in career news",""
"1081","Polar Bears extended playoff series with Omsk Hawks news belyemedvedi omskieyastreby",""
"1082","house in which carbon monoxide poisoning was the father goes residential fire news zabroshennyydom",""
"1083","tractor forward Anton Glinkin called up Russian news tractor antonglinkin hockey",""
"1084","minibus collided with KamAZ because of racing with another minibus taxi KAMAZ racing news",""
"1085","mysterious businesswoman promises help parents kindergartners dotysyach rubles news before",""
"1086","on ul.Tsvillinga faced nissan van and blocked the news halfway bolshegruzov accident ne",""
"1087","medalist gave Boris Dubrovsky black belt in judo news vitaliymakarov borisdubrov",""
"1088","mysterious businesswoman promises help parents kindergartners dotysyach rubles news before",""
"1089","Boris Dubrovsky discussed with the chairman of the bank's prospects smp smp news borisdubrovski",""
"1090","father had abandoned newborn son in the oven under arrest child oven news",""
"1091","A criminal investigation into the incidence of aircraft flight attendants from Chelyabinsk news dubai samol",""
"1092","unemployed yuzhnouraltsev arrested for robbing a year old grandmother is old news Kartali robbery",""
"1093","Chelyabinsk minibus collided with two Kamaz news Tripod taxi crash",""
"1094","Traktorozavodskogo district head Vladimir Gorbunov dismissed news vladimirgorbunov res",""
"1095","Yuzhnouralets poluchilgoda prison for attacks on apartment owners and buyers news Terraced House",""
"1096","into the fire Kartaly spogibshimi children prosecuted under arson news Kartali",""
"1097","Chelyabinsk landscaping can begin as early as next week news landscaping city",""
"1098","Chelyabinsk grozitlet prison for arson machine neighbor arson car news",""
"1099","upon smertidetey and their father in a fire started investigation verification news de fire death",""
"1100","Chelyabinsk hospital announced the news revolution hospital quality strategy",""
"1101","near Chelyabinsk MFC install traffic lights for pedestrian traffic news MFC",""
"1102","monthly norm of precipitation fell on a weekend in Chelyabinsk news precipitation snow",""
"1103","in the administration of Chelyabinsk reduce the number of employees reduce administration news",""
"1104","Olympians Korotkov Livinskaya won home championship Russian news freestyle freestyle showers",""
"1105","because of snowfall in Chelyabinsk point formed cork stopper crash news",""
"1106","ward orphanage stabbed his stepfather in news magnitogorsk quarrel",""
"1107","in a fire in the village of Krasnogorsk skonchalisdetey their father news fire death",""
"1108","people were killed in a fire at the southern Urals news fire death",""
"1109","voditellihach crashed into standing on the sidelines mazpogibli news crash death",""
"1110","died infant injured in road accident near Chelyabinsk news baby death",""
"1111","see now online oblru onlayntranslyatsiyu final match NHL news NHL hockey",""
"1112","polar bears have lost a quarter of Omsk Hawks",""
"1113","Chelyabinsk region extended storm warning snowfall weather news",""
"1114","Chelyabinsk second floor window of a college student fell news death fall",""
"1115","students from Chelyabinsk and Magnitogorsk road accident victims under the reservoir formation news crash children",""
"1116","old resident of the Sverdlovsk region was killed in a head-on crash near Chelyabinsk news highway crash",""
"1117","on urban roads allocate lanes for cyclists bike path SDA news",""
"1118","Magnitogorsk drunken guard opened fire with a rifle because of hostility to colleagues news firings",""
"1119","see today on the site of the final match oblru onlayntranslyatsiyu NHL news NHL hockey",""
"1120","Sergei Kovalev defended his world title boxing news release wbo sergeykovalev",""
"1121","Crimea began to live Moscow time news Crimea time",""
"1122","to prevent congestion on the m-hour duty entered operational service news m Trues",""
"1123","topsamyh made popular blogs Chelyabinsk region news LJ Rating",""
"1124","on the snow-covered road nissan flew into kamazpogibpostradali news crash snow trail",""
"1125","Argayashsky resident district fell through the ice on the way to work Miass death news",""
"1126","OMON officers involved in an accident with a truck crash riot police news",""
"1127","fromApril expected rise in price of postal services pochtarossii Russian news services",""
"1128","Chelyabinsk continues raids on tinting car tinting machines News",""
"1129","chelyabinets poluchilgoda prison for the death of common-law wife in death crash crash news",""
"1130","CSU students announced collection of used batteries",""
"1131"," battery recycling news",""
"1132","shorting incapacitated technique in the home news in Troitsk Troitsk Short-circuit",""
"1133","gazelle crashed into a truck standing there dead news Miass crash death",""
"1134","Chelyabinsk zoozaschitniki dog out with broken bones in the crash news dog crash",""
"1135","schoolboy was killed crossing the road at a red light news rebnok death crash Kartali",""
"1136","in the arena of tractor install pedestal in the form of medals for the world championship in judo news arenatrak",""
"1137","Castle deputies sacked head of the city of Sergey Fadeev news sergeyfadeev Kasli",""
"1138","a mass brawl in the center of Chelyabinsk got to fight DVR video news",""
"1139","Weekend in the Chelyabinsk region declared a storm warning because of the snow storm news Chelyab",""
"1140","Chrysostom at eksmera suspected fraud found illegal ammunition news vasiliymal",""
"1141","Zlatoust Rostekhnadzor inspectors suspect a bribe natysyach rubles news Rostekhnadzor",""
"1142","Troitsk resident told as burned in the furnace of a premature son news Troitsk szhegsynv",""
"1143","in the basement under the Chelyabinsk Theatre conducted seances news basement spirtizm",""
"1144","tractor lost vanguard and finished the season news tractor vanguard rezultatvtorogomatcha",""
"1145","on ul.Tsvillinga frets and taxi after the collision ended up in Elektroopora news Elektroopora",""
"1146","police rescued a driver from a burning car in the Chelyabinsk region police rescue news",""
"1147","Three people died in the fire in the fire news Magnitogorsk Magnitogorsk nepotushennayasigareta",""
"1148","family of the South Ural village gathered on the engine vezdehodamfibiyu cornfields news rover family",""
